Report generated on: 03-15-2022 08:31:49,,,,,,,,,,,,,,,,,,,,,,,
International_data,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000g&c=1028i008006gg6168g80a4k000e0ag00gg0004g800ho00g8&ct=0&ug=8&tl_id=2-A&vs=INTL.33-12-ALB-BKWH.A&cy=2014&vo=0&v=H&start=2000&end=2014,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,hydroelectricity net generation (billion kWh),Billion Kwh,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INTL.33-12-LVA-BKWH.A,        Latvia,Billion Kwh,2.791,2.805,2.438,2.243,3.078,3.293,2.671,2.706,3.078,3.422,3.488,2.857,3.677,2.838,1.953,1.841,2.523,4.356,2.417,2.08692,2.59
INTL.33-12-LTU-BKWH.A,        Lithuania,Billion Kwh,0.336,0.322,0.35,0.323,0.417,0.446193,0.393,0.417,0.398,0.42,0.535,0.475,0.419,0.516,0.395,0.346,0.45,0.597,0.427,0.34254,1.06
INTL.33-12-LUX-BKWH.A,        Luxembourg,Billion Kwh,0.119,0.117,0.098,0.078,0.103,0.093,0.11,0.116,0.131,0.105,0.104,0.061,0.095,0.114,0.104,0.095,0.111,0.082,0.089,0.10593,1.09
INTL.33-12-MLT-BKWH.A,        Malta,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.33-12-MNE-BKWH.A,        Montenegro,Billion Kwh,--,--,--,--,--,--,1.733,1.271,1.524,2.05,2.723,1.192,1.462,2.479,1.734,1.476,1.825,1.014,2.09187,1.78,1.8
INTL.33-12-NLD-BKWH.A,        Netherlands,Billion Kwh,0.141,0.116,0.109,0.071,0.094,0.087,0.105,0.106,0.101,0.097,0.105,0.057,0.104,0.114,0.112,0.093,0.1,0.061,0.072,0.07326,0.05
INTL.33-12-MKD-BKWH.A,        North Macedonia,Billion Kwh,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,1.257,2.407,1.419,1.031,1.568,1.195,1.846,1.878,1.099,1.773,1.15236,1.24
INTL.33-12-NOR-BKWH.A,        Norway,Billion Kwh,140.4,119.258,128.078,104.425,107.693,134.331,118.175,132.319,137.654,124.03,116.257,119.78,141.189,127.551,134.844,136.662,142.244,141.651,138.202,123.66288,141.69
INTL.33-12-POL-BKWH.A,        Poland,Billion Kwh,2.085,2.302,2.256,1.654,2.06,2.179,2.022,2.328,2.13,2.351,2.9,2.313,2.02,2.421,2.165,1.814,2.117,2.552,1.949,1.93842,2.93
INTL.33-12-PRT-BKWH.A,        Portugal,Billion Kwh,11.21,13.894,7.722,15.566,9.77,4.684,10.892,9.991,6.73,8.201,15.954,11.423,5.589,13.652,15.471,8.615,15.608,5.79,12.316,8.6526,13.96
INTL.33-12-ROU-BKWH.A,        Romania,Billion Kwh,14.63,14.774,15.886,13.126,16.348,20.005,18.172,15.806,17.023,15.379,19.684,14.581,11.945,14.807,18.618,16.467,17.848,14.349,17.48736,15.65289,15.53
INTL.33-12-SRB-BKWH.A,        Serbia,Billion Kwh,--,--,--,--,--,--,10.855,9.937,9.468,10.436,11.772,8.58,9.193,10.101,10.893,9.979,10.684,9.061,10.53261,10.07028,9.66
INTL.33-12-SVK-BKWH.A,        Slovakia,Billion Kwh,4.569,4.878,5.215,3.4452,4.059,4.592,4.355,4.406,4,4.324,5.184,3.211,3.687,4.329,3.762,3.701,4.302,4.321,3.506,4.27383,4.67
INTL.33-12-SVN-BKWH.A,        Slovenia,Billion Kwh,3.771,3.741,3.265,2.916,4.033,3.426,3.555,3.233,3.978,4.666,4.452,3.506,3.841,4.562,6.011,3.75,4.443,3.814,4.643,4.43421,5.24
INTL.33-12-ESP-BKWH.A,        Spain,Billion Kwh,29.274,40.617,22.691,40.643,31.359,18.209,25.699,27.036,23.13,26.147,41.576,30.07,20.192,36.45,38.815,27.656,35.77,18.007,33.743,24.23025,33.34
INTL.33-12-SWE-BKWH.A,        Sweden,Billion Kwh,77.798,78.269,65.696,53.005,59.522,72.075,61.106,65.497,68.378,65.193,66.279,66.047,78.333,60.81,63.227,74.734,61.645,64.651,61.79,64.46583,71.6
INTL.33-12-CHE-BKWH.A,        Switzerland,Billion Kwh,36.466,40.895,34.862,34.471,33.411,30.914,30.649,34.898,35.676,35.366,35.704,32.069,38.218,38.08,37.659,37.879,34.281,33.754,34.637,37.6596,40.62
INTL.33-12-TUR-BKWH.A,        Turkey,Billion Kwh,30.57,23.77,33.346,34.977,45.623,39.165,43.802,35.492,32.937,35.598,51.423,51.155,56.669,58.225,39.75,65.856,66.686,57.824,59.49,87.99714,77.39
INTL.33-12-GBR-BKWH.A,        United Kingdom,Billion Kwh,5.035,4.015,4.74,3.195,4.795,4.873,4.547,5.026,5.094,5.178,3.566,5.655,5.286,4.667,5.832,6.246,5.342,5.836,5.189,5.89941,7.64
