region,2020,2019
Schleswig-Holstein,3066,3750
Niedersachsen,2095,1484
Brandenburg,440,420
Sachsen-Anhalt,251,327
Mecklenburg-Vorpommern,96,158
Nordrhein-Westfalen,79,227
Bayern,37,22
Rheinland-Pfalz,29,38
Baden-Württemberg,13,4
Thüringen,13,19
Hessen,23,34
Sachsen,2,1
Saarland,0,0
Hamburg,0,0
Berlin,0,0
Bremen,0,0
